stfips,year,unemployment,gdp_growth,productivity_growth
1.0,1976,6.7,5.38802,3.48215
2.0,1976,7.6,5.38802,3.48215
4.0,1976,9.8,5.38802,3.48215
5.0,1976,6.9,5.38802,3.48215
6.0,1976,9.2,5.38802,3.48215
8.0,1976,5.9,5.38802,3.48215
9.0,1976,9.2,5.38802,3.48215
10.0,1976,8.6,5.38802,3.48215
11.0,1976,8.6,5.38802,3.48215
12.0,1976,9.3,5.38802,3.48215
13.0,1976,8.2,5.38802,3.48215
15.0,1976,9.2,5.38802,3.48215
16.0,1976,5.6,5.38802,3.48215
17.0,1976,6.6,5.38802,3.48215
18.0,1976,6.0,5.38802,3.48215
19.0,1976,4.1,5.38802,3.48215
20.0,1976,4.1,5.38802,3.48215
21.0,1976,5.4,5.38802,3.48215
22.0,1976,6.6,5.38802,3.48215
23.0,1976,8.6,5.38802,3.48215
24.0,1976,6.6,5.38802,3.48215
25.0,1976,9.7,5.38802,3.48215
26.0,1976,9.4,5.38802,3.48215
27.0,1976,5.8,5.38802,3.48215
28.0,1976,6.5,5.38802,3.48215
29.0,1976,6.2,5.38802,3.48215
30.0,1976,5.9,5.38802,3.48215
31.0,1976,3.2,5.38802,3.48215
32.0,1976,8.8,5.38802,3.48215
33.0,1976,6.4,5.38802,3.48215
34.0,1976,10.4,5.38802,3.48215
35.0,1976,8.7,5.38802,3.48215
36.0,1976,10.2,5.38802,3.48215
37.0,1976,6.2,5.38802,3.48215
38.0,1976,3.8,5.38802,3.48215
39.0,1976,7.7,5.38802,3.48215
40.0,1976,5.6,5.38802,3.48215
41.0,1976,9.3,5.38802,3.48215
42.0,1976,8.0,5.38802,3.48215
44.0,1976,8.0,5.38802,3.48215
45.0,1976,7.0,5.38802,3.48215
46.0,1976,3.3,5.38802,3.48215
47.0,1976,6.1,5.38802,3.48215
48.0,1976,5.8,5.38802,3.48215
49.0,1976,5.6,5.38802,3.48215
50.0,1976,8.3,5.38802,3.48215
51.0,1976,5.9,5.38802,3.48215
53.0,1976,8.8,5.38802,3.48215
54.0,1976,7.2,5.38802,3.48215
55.0,1976,5.5,5.38802,3.48215
56.0,1976,3.9,5.38802,3.48215
1.0,1977,7.2,4.62420,1.72617
2.0,1977,9.9,4.62420,1.72617
4.0,1977,8.4,4.62420,1.72617
5.0,1977,6.5,4.62420,1.72617
6.0,1977,8.4,4.62420,1.72617
8.0,1977,6.4,4.62420,1.72617
9.0,1977,7.0,4.62420,1.72617
10.0,1977,8.2,4.62420,1.72617
11.0,1977,8.6,4.62420,1.72617
12.0,1977,8.3,4.62420,1.72617
13.0,1977,6.9,4.62420,1.72617
15.0,1977,7.6,4.62420,1.72617
16.0,1977,5.9,4.62420,1.72617
17.0,1977,6.2,4.62420,1.72617
18.0,1977,5.8,4.62420,1.72617
19.0,1977,4.0,4.62420,1.72617
20.0,1977,3.9,4.62420,1.72617
21.0,1977,4.9,4.62420,1.72617
22.0,1977,6.9,4.62420,1.72617
23.0,1977,8.4,4.62420,1.72617
24.0,1977,6.1,4.62420,1.72617
25.0,1977,7.9,4.62420,1.72617
26.0,1977,8.2,4.62420,1.72617
