	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	unemployment	educ	experience	female	white	married	union
							
post_treat	-0.00605	-0.132	0.218	-0.284***	-0.160**	-0.0835	-0.153**
	(0.0245)	(0.0846)	(0.366)	(0.0658)	(0.0776)	(0.0577)	(0.0751)
post				-0.463***	-0.167	-0.0542	-0.523***
				(0.103)	(0.153)	(0.106)	(0.119)
treat	-0.0154	0.308***	-1.445***	0.242**	0.0932	0.0560	0.252**
	(0.0190)	(0.0663)	(0.355)	(0.0993)	(0.0571)	(0.0460)	(0.104)
1984.year				-0.655***	0.122	0.0923	0.238**
				(0.0958)	(0.101)	(0.0924)	(0.106)
1985.year				-0.806***	0.250	0.169	0.303**
				(0.101)	(0.169)	(0.104)	(0.123)
1986.year				-0.859***	0.262	0.343***	-0.333***
				(0.0874)	(0.229)	(0.107)	(0.115)
1987.year				-0.707***	0.128	0.0983	0.139
				(0.103)	(0.121)	(0.103)	(0.107)
1988.year				-0.802***	0.250*	0.000865	0.176*
				(0.0703)	(0.128)	(0.122)	(0.105)
1989.year				-0.784***	0.312***	0.0615	0.0839
				(0.0815)	(0.120)	(0.0872)	(0.0984)
1990.year				-0.664***	0.117	-0.141	0.00450
				(0.0754)	(0.143)	(0.0948)	(0.119)
1991.year				-0.748***	0.318**	-0.235**	-0.0274
				(0.0898)	(0.144)	(0.117)	(0.106)
1992.year				-0.650***	0.172	-0.261***	-0.0916
				(0.0899)	(0.131)	(0.0912)	(0.109)
1993.year				-0.587***	0.142	-0.354***	-0.148
				(0.0865)	(0.124)	(0.118)	(0.121)
1994.year				0.0464	0.444***	0.0761	0.376***
				(0.113)	(0.132)	(0.0927)	(0.110)
1995.year				-0.136	0.523***	0.132	0.298**
				(0.112)	(0.165)	(0.0936)	(0.131)
1996.year				-0.214**	0.436***	-0.000512	0.0846
				(0.106)	(0.152)	(0.108)	(0.124)
1997.year				-0.0276	0.365***	-0.105	0.342***
				(0.0920)	(0.141)	(0.0875)	(0.0964)
1998.year				0.00934	0.397***	-0.183**	0.190
				(0.0985)	(0.114)	(0.0778)	(0.116)
1999.year				-0.0129	0.165	-0.198**	0.267**
				(0.107)	(0.131)	(0.0825)	(0.130)
2000.year				0.330***	0.350**	-0.206	0.187
				(0.105)	(0.146)	(0.130)	(0.132)
2001.year				0.127	0.0702	-0.177	0.0581
				(0.109)	(0.118)	(0.116)	(0.135)
