	(1)	(2)	(3)	(4)
VARIABLES	No controls	Controls	No controls	Controls
				
inflation_post_treat	-0.319	-0.0546	-0.259	-0.0419
	(0.334)	(0.225)	(0.278)	(0.179)
post_treat	0.0470	0.0965	-0.00595	0.0284
	(0.335)	(0.309)	(0.270)	(0.247)
inflation_post	0.420	0.342	0.372	0.314
	(0.399)	(0.364)	(0.347)	(0.317)
inflation_treat	-0.122	-0.177	-0.108	-0.146*
	(0.123)	(0.108)	(0.0967)	(0.0852)
post	0.179	0.313	0.303	0.531***
	(0.269)	(0.218)	(0.231)	(0.189)
treat	-0.247*	0.859***	-0.207*	0.825***
	(0.135)	(0.306)	(0.108)	(0.265)
unemployment		0.0814***		0.0843***
		(0.0299)		(0.0250)
educ		0.0188		0.0122
		(0.0202)		(0.0141)
experience		-0.000870		0.00248
		(0.0103)		(0.00863)
experience2		0.000193		0.000139
		(0.000167)		(0.000139)
female		-0.204*		-0.174*
		(0.109)		(0.0894)
white		0.0228		0.0287
		(0.0815)		(0.0603)
married		0.0538		0.0384
		(0.0618)		(0.0489)
union		-0.212***		-0.190***
		(0.0619)		(0.0411)
2.ind		-1.037***		-0.905***
		(0.292)		(0.269)
3.ind		0.425***		0.416***
		(0.0855)		(0.0780)
4.ind		-0.855***		-0.784***
		(0.260)		(0.230)
5.ind		0.286***		0.277***
		(0.0951)		(0.0899)
6.ind		0.427***		0.386***
		(0.123)		(0.108)
7.ind		0.208***		0.183***
		(0.0730)		(0.0667)
8.ind		-0.0714		-0.151*
		(0.0785)		(0.0886)
9.ind		0.107		0.0597
		(0.0731)		(0.0826)
10.ind		-0.0429		-0.0809
		(0.0869)		(0.0787)
11.ind		0.524***		0.493***
		(0.119)		(0.135)
12.ind		0.383***		0.327***
		(0.0974)		(0.0903)
13.ind		0.538		0.588
		(0.358)		(0.366)
14.ind		0.574***		0.522***
		(0.0888)		(0.0903)
15.ind		0.127		0.0807
		(0.0831)		(0.0786)
16.ind		0.102		0.0323
		(0.127)		(0.110)
17.ind		0.171		0.144
		(0.178)		(0.163)
18.ind		0.548***		0.418***
		(0.133)		(0.116)
19.ind		0.392		0.560***
		(0.276)		(0.157)
20o.ind		-		-
				
2.occ		0.0892		0.0866
		(0.181)		(0.173)
3.occ		0.186		0.157
		(0.164)		(0.150)
4.occ		-0.0879		-0.0677
		(0.138)		(0.132)
5.occ		-0.0885		-0.0466
		(0.219)		(0.205)
6.occ		0.270		
		(0.233)		
7.occ		0.117		
		(0.225)		
8.occ		-0.110		-0.115
		(0.314)		(0.305)
9.occ		0.267*		0.276*
		(0.159)		(0.153)
10.occ		0.251		0.261
		(0.307)		(0.303)
11.occ		-0.215		-0.195
		(0.230)		(0.234)
12.occ		-0.0323		-0.0553
		(0.216)		(0.203)
13.occ		0.00728		0.00270
		(0.260)		(0.259)
14.occ		0.313*		0.287
		(0.190)		(0.176)
15.occ		1.710**		1.741**
		(0.696)		(0.704)
16.occ		0.201		0.182
		(0.211)		(0.203)
17.occ		0.161		0.142
		(0.160)		(0.151)
18.occ		0.171		0.191
		(0.227)		(0.199)
19.occ		0.00833		-0.0162
		(0.189)		(0.176)
20.occ		0.106		0.0900
		(0.157)		(0.146)
21.occ		0.166		0.134
		(0.165)		(0.154)
22.occ		0.272		0.250
		(0.177)		(0.166)
23.occ		0.0705		0.0760
		(0.201)		(0.185)
2.stfips		0.321**		0.291**
		(0.150)		(0.127)
4.stfips		-0.0354		-0.134**
		(0.0715)		(0.0543)
5.stfips		-0.128		-0.0148
		(0.0842)		(0.0535)
6.stfips		0.201***		0.124***
		(0.0490)		(0.0339)
8.stfips		0.619***		0.515***
		(0.138)		(0.114)
9.stfips		-0.0499		-0.0162
		(0.116)		(0.0902)
10.stfips		-0.0968		-0.133*
		(0.0952)		(0.0742)
11.stfips		-1.331***		-1.383***
		(0.299)		(0.265)
12.stfips		0.327***		0.226***
		(0.0705)		(0.0546)
13.stfips		0.163**		0.0855
		(0.0760)		(0.0592)
15.stfips		0.00890		-0.0697
		(0.142)		(0.121)
16.stfips		0.0799		0.0319
		(0.0693)		(0.0523)
17.stfips		-0.0788		-0.132***
		(0.0718)		(0.0458)
18.stfips		-0.0428		-0.0227
		(0.0742)		(0.0598)
19.stfips		0.295***		0.256***
		(0.104)		(0.0842)
20.stfips		-0.233**		-0.180**
		(0.105)		(0.0834)
21.stfips		0.194***		0.185***
		(0.0544)		(0.0408)
22.stfips		-0.103		-0.198***
		(0.0858)		(0.0634)
23.stfips		-0.324***		-0.234***
		(0.0643)		(0.0511)
24.stfips		0.466***		0.357***
		(0.0983)		(0.0766)
25.stfips		0.321***		0.257***
		(0.0930)		(0.0748)
26.stfips		0.0980**		0.0312
		(0.0479)		(0.0336)
27.stfips		0.487***		0.328***
		(0.104)		(0.0844)
28.stfips		0.0114		0.0784**
		(0.0554)		(0.0321)
29.stfips		0.266***		0.119**
		(0.0738)		(0.0571)
30.stfips		-0.296***		-0.290***
		(0.0881)		(0.0700)
31.stfips		0.472***		0.354***
		(0.139)		(0.113)
32.stfips		0.0339		0.00112
		(0.0870)		(0.0699)
33.stfips		0.936***		0.776***
		(0.338)		(0.286)
34.stfips		-0.00419		-0.0588
		(0.116)		(0.0865)
35.stfips		0.0691		0.0221
		(0.0512)		(0.0367)
36.stfips		0.436***		0.329***
		(0.0806)		(0.0615)
37.stfips		-0.0232		0.00503
		(0.0908)		(0.0762)
38.stfips		0.701***		0.595***
		(0.116)		(0.0930)
39.stfips		0.217***		0.141***
		(0.0508)		(0.0394)
40.stfips		0.360***		0.264***
		(0.0823)		(0.0624)
41.stfips		-0.209***		-0.188***
		(0.0784)		(0.0526)
42.stfips		0.208***		0.127***
		(0.0641)		(0.0484)
44.stfips		1.215***		0.879***
		(0.114)		(0.0766)
45.stfips		0.341***		0.217***
		(0.0712)		(0.0538)
46.stfips		0.223		0.158
		(0.137)		(0.112)
47.stfips		0.0305		0.0659
		(0.0717)		(0.0519)
48.stfips		0.256***		0.201***
		(0.0488)		(0.0363)
49.stfips		0.231**		0.196**
		(0.109)		(0.0852)
50.stfips		0.270**		0.238**
		(0.122)		(0.0965)
51.stfips		0.102		0.148
		(0.118)		(0.0922)
53.stfips		0.167*		0.120*
		(0.0963)		(0.0712)
54.stfips		-0.174**		-0.204***
		(0.0732)		(0.0570)
55.stfips		0.200**		0.0653
		(0.0840)		(0.0682)
56.stfips		0.562***		0.502***
		(0.0875)		(0.0707)
1984.year	-0.275	-0.217	-0.0593	0.0426
	(0.231)	(0.199)	(0.189)	(0.172)
1985.year	-0.142	-0.0405	-0.0238	0.116
	(0.297)	(0.260)	(0.226)	(0.206)
1986.year	-0.232	-0.0700	-0.0990	0.123
	(0.447)	(0.329)	(0.371)	(0.282)
1987.year	-0.0308	0.126	0.123	0.332*
	(0.286)	(0.238)	(0.232)	(0.195)
1988.year	-0.0535	0.0977	0.0700	0.303
	(0.274)	(0.237)	(0.218)	(0.192)
1989.year	-0.108	0.130	0.0303	0.329*
	(0.262)	(0.208)	(0.210)	(0.174)
1990.year	-0.408	-0.146	-0.180	0.124
	(0.253)	(0.187)	(0.211)	(0.163)
1991.year	-0.437*	-0.339*	-0.216	-0.0513
	(0.262)	(0.199)	(0.210)	(0.159)
1992.year	-0.320	-0.322	-0.115	-0.0346
	(0.231)	(0.228)	(0.187)	(0.189)
1993.year	-0.300	-0.162	-0.108	0.0804
	(0.276)	(0.262)	(0.224)	(0.220)
1994.year	-0.245	-0.213	-0.186	-0.170
	(0.214)	(0.231)	(0.170)	(0.186)
1995.year	-0.346	-0.298	-0.262	-0.220
	(0.225)	(0.245)	(0.186)	(0.205)
1996.year	-0.442	-0.406	-0.382	-0.345
	(0.495)	(0.445)	(0.398)	(0.366)
1997.year	0.315	0.357	0.249	0.303
	(0.655)	(0.586)	(0.549)	(0.499)
1998.year	0.552	0.309	0.445	0.271
	(0.763)	(0.595)	(0.665)	(0.519)
1999.year	0.0882	0.187	0.0655	0.176
	(0.399)	(0.379)	(0.335)	(0.329)
2000.year	-0.782***	-0.638**	-0.703***	-0.560**
	(0.293)	(0.304)	(0.256)	(0.260)
2001.year	-0.420**	-0.324*	-0.386**	-0.296*
	(0.182)	(0.178)	(0.153)	(0.154)
2002.year	0.258	0.308	0.271	0.304
	(0.589)	(0.574)	(0.503)	(0.490)
2003.year	-0.0800	-0.115	-0.0279	-0.0557
	(0.327)	(0.327)	(0.275)	(0.273)
2004o.year	-	-	-	-
				
