	(1)	(2)	(3)	(4)
	Year < 2000	Year < 2000	Year >= 2000	Year >= 2000
VARIABLES	No Macro Controls	Macro Controls	No Macro Controls	Macro Controls
				
inflation	-0.00912	-0.0237**	-0.0427***	-0.0264***
	(0.00996)	(0.00972)	(0.00390)	(0.00348)
productivity_growth	-0.0164**	-0.0294***	-0.0115***	-0.0298***
	(0.00825)	(0.00832)	(0.00425)	(0.00438)
unemployment		0.0452***		0.0596***
		(0.00713)		(0.00479)
educ	0.00509	0.00749	0.0227***	0.0230***
	(0.00566)	(0.00560)	(0.00334)	(0.00333)
experience	0.00983***	0.0105***	0.00472***	0.00469***
	(0.00209)	(0.00207)	(0.00124)	(0.00124)
experience2	4.73e-05	3.90e-05	0.000101***	0.000102***
	(4.13e-05)	(4.11e-05)	(2.36e-05)	(2.37e-05)
female	-0.0493**	-0.0506**	0.0353**	0.0362**
	(0.0221)	(0.0222)	(0.0144)	(0.0142)
white	-0.0146	-0.0165	0.0682***	0.0692***
	(0.0177)	(0.0177)	(0.0178)	(0.0179)
married	0.0202	0.0164	-0.0295***	-0.0326***
	(0.0164)	(0.0163)	(0.0112)	(0.0114)
union	-0.181***	-0.187***	-0.290***	-0.289***
	(0.0194)	(0.0192)	(0.0249)	(0.0250)
2.ind	-0.275**	-0.287**	-0.336***	-0.343***
	(0.136)	(0.135)	(0.110)	(0.110)
3.ind	-0.169*	-0.165	-0.0517	-0.0417
	(0.102)	(0.103)	(0.106)	(0.107)
4.ind	-0.474***	-0.475***	-0.374***	-0.368***
	(0.0933)	(0.0934)	(0.105)	(0.106)
5.ind	-0.245**	-0.249**	-0.339***	-0.335***
	(0.1000)	(0.101)	(0.104)	(0.104)
6.ind	-0.197*	-0.196*	-0.373***	-0.373***
	(0.107)	(0.107)	(0.100)	(0.101)
7.ind	-0.304***	-0.300***	-0.332***	-0.328***
	(0.107)	(0.107)	(0.0976)	(0.0987)
8.ind	-0.644***	-0.647***	-0.485***	-0.487***
	(0.115)	(0.116)	(0.120)	(0.120)
9.ind	-0.500***	-0.506***	-0.339***	-0.341***
	(0.114)	(0.115)	(0.103)	(0.104)
10.ind	-0.605***	-0.606***	-0.522***	-0.522***
	(0.113)	(0.113)	(0.105)	(0.106)
11.ind	-0.0676	-0.0651	-0.129	-0.120
	(0.131)	(0.131)	(0.111)	(0.113)
12.ind	-0.226*	-0.225*	-0.0769	-0.0758
	(0.121)	(0.121)	(0.0995)	(0.100)
13.ind	-0.130	-0.115	-0.133	-0.133
	(0.393)	(0.387)	(0.355)	(0.351)
14.ind	-0.0948	-0.0932	-0.0101	-0.00573
	(0.108)	(0.108)	(0.101)	(0.101)
15.ind	-0.612***	-0.613***	-0.377***	-0.374***
	(0.105)	(0.105)	(0.100)	(0.101)
16.ind	-0.585***	-0.585***	-0.427***	-0.429***
	(0.0974)	(0.0977)	(0.0957)	(0.0960)
17.ind	-0.228**	-0.223**	-0.127	-0.132
	(0.102)	(0.102)	(0.0920)	(0.0917)
18.ind	-0.316***	-0.315***	-0.141	-0.141
	(0.116)	(0.116)	(0.0913)	(0.0907)
19.ind	0.125	0.122	0.0792	0.0794
	(0.113)	(0.113)	(0.102)	(0.102)
20.ind	-0.656***	-0.659***	-0.535***	-0.531***
	(0.110)	(0.111)	(0.101)	(0.102)
2.occ	0.111	0.112	-0.0982*	-0.0954*
	(0.111)	(0.112)	(0.0514)	(0.0519)
3.occ	0.168**	0.178***	0.0876	0.0929
	(0.0679)	(0.0678)	(0.0775)	(0.0771)
4.occ	0.0273	0.0224	-0.115*	-0.114*
	(0.103)	(0.102)	(0.0657)	(0.0661)
5.occ	0.0592	0.0608	-0.0762	-0.0723
	(0.169)	(0.171)	(0.0950)	(0.0947)
6.occ	0.399***	0.400***	0.0999	0.105
	(0.141)	(0.142)	(0.0744)	(0.0733)
7.occ	0.139	0.145	0.0505	0.0487
	(0.234)	(0.234)	(0.0941)	(0.0961)
8.occ	0.457***	0.448***	0.131**	0.126**
	(0.123)	(0.124)	(0.0624)	(0.0627)
9.occ	0.387***	0.384***	0.241***	0.240***
	(0.112)	(0.111)	(0.0713)	(0.0708)
10.occ	0.208**	0.210**	-0.128***	-0.127***
	(0.0938)	(0.0939)	(0.0418)	(0.0421)
11.occ	0.0704	0.0685	0.0689	0.0713
	(0.0878)	(0.0879)	(0.0499)	(0.0498)
12.occ	0.224**	0.226**	-0.0236	-0.0282
	(0.0895)	(0.0895)	(0.0476)	(0.0477)
13.occ	0.435***	0.433***	0.0156	0.0129
	(0.0748)	(0.0747)	(0.0423)	(0.0426)
14.occ	0.197**	0.195**	-0.0572	-0.0588
	(0.0813)	(0.0808)	(0.0439)	(0.0442)
15.occ	0.568***	0.574***	0.250***	0.253***
	(0.103)	(0.104)	(0.0683)	(0.0677)
16.occ	0.0661	0.0670	-0.0825*	-0.0849*
	(0.0803)	(0.0806)	(0.0454)	(0.0464)
17.occ	0.133*	0.131*	-0.0451	-0.0452
	(0.0763)	(0.0763)	(0.0362)	(0.0364)
18.occ	0.424***	0.433***	0.111	0.116
	(0.124)	(0.125)	(0.0956)	(0.0932)
20.occ	0.138*	0.135*	-0.0717*	-0.0720*
	(0.0786)	(0.0784)	(0.0413)	(0.0420)
21.occ	0.139	0.139	-0.0713	-0.0692
	(0.0855)	(0.0854)	(0.0487)	(0.0485)
22.occ	0.262***	0.260***	-0.0409	-0.0395
	(0.0793)	(0.0789)	(0.0465)	(0.0468)
23o.occ	-	-		
				
2.stfips	0.106***	0.0838***	0.0369***	-0.0225***
	(0.00911)	(0.00961)	(0.00772)	(0.00858)
4.stfips	-0.162***	-0.0784***	-0.0605***	-0.0774***
	(0.00437)	(0.0139)	(0.00603)	(0.00600)
5.stfips	-0.0573***	-0.0228***	-0.00996***	0.00734**
	(0.00297)	(0.00686)	(0.00300)	(0.00368)
6.stfips	-0.0451***	-0.0314***	0.0361***	-0.0617***
	(0.00511)	(0.00559)	(0.00923)	(0.0123)
8.stfips	-0.0650***	0.0412**	-0.0370***	-0.0293***
	(0.00523)	(0.0177)	(0.00486)	(0.00506)
9.stfips	-0.343***	-0.214***	0.0315***	0.00403
	(0.00454)	(0.0217)	(0.00537)	(0.00549)
10.stfips	-0.217***	-0.0741***	0.0140**	0.0372***
	(0.00333)	(0.0230)	(0.00549)	(0.00617)
11.stfips	-0.532***	-0.532***	0.0887***	-0.00234
	(0.0140)	(0.0138)	(0.0130)	(0.0148)
12.stfips	-0.165***	-0.0994***	0.165***	0.175***
	(0.00523)	(0.0118)	(0.00585)	(0.00609)
13.stfips	-0.106***	-0.00853	0.107***	0.0683***
	(0.00390)	(0.0162)	(0.00253)	(0.00428)
15.stfips	-0.135***	-0.00271	0.0612***	0.142***
	(0.0170)	(0.0255)	(0.0161)	(0.0170)
16.stfips	-0.143***	-0.0757***	-0.0439***	0.00833
	(0.00509)	(0.0121)	(0.00540)	(0.00800)
17.stfips	-0.189***	-0.164***	0.0422***	-0.00521
	(0.00528)	(0.00691)	(0.00363)	(0.00450)
18.stfips	-0.190***	-0.0920***	0.0592***	0.0412***
