	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	No Macro Controls	Macro Controls	No Year FE	No Macro Controls	Macro Controls	No Year FE
						
inflation_low_income	0.0241	0.0216	0.0225	-0.0313***	-0.0311***	-0.0288***
	(0.0184)	(0.0179)	(0.0180)	(0.00797)	(0.00793)	(0.00785)
low_income	0.0794***	0.0833***	0.0842***	0.0536**	0.0536**	0.0482**
	(0.0213)	(0.0218)	(0.0217)	(0.0226)	(0.0227)	(0.0221)
educ	0.00730	0.00752	0.00852	0.0235***	0.0235***	0.0247***
	(0.00521)	(0.00528)	(0.00527)	(0.00349)	(0.00348)	(0.00332)
experience	0.0114***	0.0116***	0.0117***	0.00626***	0.00627***	0.00601***
	(0.00206)	(0.00205)	(0.00205)	(0.00124)	(0.00124)	(0.00123)
experience2	2.02e-05	1.77e-05	1.71e-05	7.31e-05***	7.29e-05***	8.05e-05***
	(4.09e-05)	(4.08e-05)	(4.10e-05)	(2.39e-05)	(2.39e-05)	(2.41e-05)
female	-0.0611***	-0.0604***	-0.0605***	0.0324**	0.0324**	0.0302**
	(0.0203)	(0.0203)	(0.0203)	(0.0144)	(0.0145)	(0.0144)
white	-0.0127	-0.00896	-0.0128	0.0800***	0.0803***	0.0723***
	(0.0179)	(0.0178)	(0.0173)	(0.0185)	(0.0185)	(0.0180)
married	0.0183	0.0179	0.0190	-0.0256**	-0.0257**	-0.0291***
	(0.0160)	(0.0161)	(0.0162)	(0.0113)	(0.0113)	(0.0113)
union	-0.169***	-0.170***	-0.170***	-0.277***	-0.277***	-0.282***
	(0.0181)	(0.0179)	(0.0178)	(0.0249)	(0.0249)	(0.0250)
2.ind	-0.255*	-0.266**	-0.261*	-0.332***	-0.331***	-0.327***
	(0.133)	(0.132)	(0.133)	(0.111)	(0.111)	(0.111)
3.ind	-0.164*	-0.163*	-0.156	-0.0292	-0.0287	-0.0308
	(0.0985)	(0.0986)	(0.0993)	(0.106)	(0.106)	(0.106)
4.ind	-0.465***	-0.465***	-0.461***	-0.356***	-0.356***	-0.356***
	(0.0917)	(0.0916)	(0.0925)	(0.105)	(0.105)	(0.105)
5.ind	-0.253***	-0.259***	-0.253**	-0.322***	-0.322***	-0.324***
	(0.0976)	(0.0979)	(0.0994)	(0.103)	(0.103)	(0.104)
6.ind	-0.218**	-0.222**	-0.216**	-0.384***	-0.384***	-0.379***
	(0.103)	(0.103)	(0.103)	(0.100)	(0.100)	(0.101)
7.ind	-0.298***	-0.300***	-0.292***	-0.318***	-0.317***	-0.317***
	(0.105)	(0.105)	(0.106)	(0.0960)	(0.0962)	(0.0979)
8.ind	-0.647***	-0.648***	-0.644***	-0.483***	-0.483***	-0.476***
	(0.111)	(0.111)	(0.112)	(0.117)	(0.118)	(0.119)
9.ind	-0.489***	-0.493***	-0.488***	-0.337***	-0.337***	-0.337***
	(0.107)	(0.107)	(0.108)	(0.102)	(0.102)	(0.103)
10.ind	-0.604***	-0.607***	-0.604***	-0.515***	-0.514***	-0.511***
	(0.110)	(0.110)	(0.111)	(0.105)	(0.105)	(0.106)
11.ind	-0.0336	-0.0323	-0.0326	-0.126	-0.125	-0.118
	(0.127)	(0.128)	(0.128)	(0.111)	(0.112)	(0.113)
12.ind	-0.218*	-0.223*	-0.215*	-0.0704	-0.0699	-0.0674
	(0.118)	(0.118)	(0.119)	(0.0988)	(0.0989)	(0.0995)
13.ind	-0.111	-0.131	-0.106	-0.181	-0.181	-0.128
	(0.389)	(0.382)	(0.387)	(0.350)	(0.350)	(0.348)
14.ind	-0.0970	-0.0991	-0.0933	-0.00802	-0.00767	-0.00541
	(0.104)	(0.104)	(0.105)	(0.100)	(0.101)	(0.101)
15.ind	-0.600***	-0.603***	-0.601***	-0.366***	-0.366***	-0.366***
	(0.102)	(0.102)	(0.103)	(0.0993)	(0.0995)	(0.101)
16.ind	-0.575***	-0.581***	-0.574***	-0.426***	-0.425***	-0.423***
	(0.0947)	(0.0949)	(0.0955)	(0.0944)	(0.0946)	(0.0954)
17.ind	-0.225**	-0.231**	-0.225**	-0.136	-0.136	-0.135
	(0.0972)	(0.0970)	(0.0985)	(0.0908)	(0.0908)	(0.0913)
18.ind	-0.318***	-0.323***	-0.315***	-0.164*	-0.163*	-0.156*
	(0.113)	(0.113)	(0.114)	(0.0902)	(0.0902)	(0.0901)
19.ind	0.108	0.103	0.108	0.0707	0.0708	0.0766
	(0.112)	(0.111)	(0.113)	(0.101)	(0.101)	(0.101)
20.ind	-0.644***	-0.646***	-0.643***	-0.520***	-0.520***	-0.520***
	(0.107)	(0.107)	(0.109)	(0.0998)	(0.0999)	(0.101)
2.occ	0.0945	0.0906	0.104	-0.0947*	-0.0946*	-0.0948*
	(0.113)	(0.114)	(0.114)	(0.0510)	(0.0510)	(0.0518)
3.occ	0.153**	0.152**	0.176***	0.0907	0.0908	0.0922
	(0.0659)	(0.0658)	(0.0663)	(0.0780)	(0.0778)	(0.0769)
4.occ	0.00751	0.00365	0.0153	-0.114*	-0.114*	-0.117*
	(0.102)	(0.101)	(0.102)	(0.0668)	(0.0668)	(0.0660)
5.occ	0.0303	0.0215	0.0332	-0.0758	-0.0752	-0.0754
	(0.169)	(0.171)	(0.169)	(0.0933)	(0.0935)	(0.0948)
6.occ	0.369***	0.363***	0.376***	0.0962	0.0966	0.102
	(0.140)	(0.139)	(0.140)	(0.0738)	(0.0737)	(0.0734)
7.occ	0.208	0.202	0.205	0.0452	0.0448	0.0498
	(0.222)	(0.222)	(0.220)	(0.0969)	(0.0972)	(0.0964)
8.occ	0.460***	0.457***	0.455***	0.0978	0.0980	0.110*
	(0.115)	(0.116)	(0.116)	(0.0623)	(0.0623)	(0.0613)
9.occ	0.377***	0.369***	0.384***	0.234***	0.234***	0.233***
	(0.112)	(0.112)	(0.112)	(0.0711)	(0.0710)	(0.0704)
10.occ	0.210**	0.211**	0.225**	-0.122***	-0.122***	-0.122***
	(0.0929)	(0.0929)	(0.0940)	(0.0431)	(0.0431)	(0.0430)
11.occ	0.0558	0.0550	0.0671	0.0644	0.0644	0.0642
	(0.0874)	(0.0875)	(0.0878)	(0.0488)	(0.0488)	(0.0488)
12.occ	0.209**	0.209**	0.222**	-0.0461	-0.0461	-0.0411
	(0.0920)	(0.0918)	(0.0917)	(0.0486)	(0.0486)	(0.0480)
13.occ	0.402***	0.399***	0.412***	-0.0145	-0.0143	-0.0118
	(0.0745)	(0.0745)	(0.0751)	(0.0415)	(0.0415)	(0.0414)
14.occ	0.166**	0.164**	0.179**	-0.0811*	-0.0811*	-0.0782*
	(0.0793)	(0.0788)	(0.0811)	(0.0440)	(0.0440)	(0.0440)
