	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	unemployment	educ	experience	female	white	married	union
							
rtw	-0.626***	-0.0681	-0.1000	-0.0344	0.0898	-0.00232	-0.237***
	(0.155)	(0.0852)	(0.244)	(0.0280)	(0.170)	(0.0324)	(0.0560)
1984.year				-0.392***	0.0362	0.0669**	0.122***
				(0.0348)	(0.0483)	(0.0290)	(0.0371)
1985.year				-0.379***	0.0969*	-0.0268	0.00128
				(0.0353)	(0.0502)	(0.0434)	(0.0359)
1986.year				-0.426***	0.349***	-0.000677	-0.146***
				(0.0496)	(0.0764)	(0.0426)	(0.0449)
1987.year				-0.416***	0.0737	-0.00566	0.00608
				(0.0336)	(0.0499)	(0.0351)	(0.0450)
1988.year				-0.392***	0.0750	0.00892	-0.00919
				(0.0355)	(0.0536)	(0.0446)	(0.0459)
1989.year				-0.381***	0.198***	-0.0719**	-0.0481
				(0.0384)	(0.0557)	(0.0363)	(0.0409)
1990.year				-0.313***	0.0707*	-0.189***	-0.141***
				(0.0317)	(0.0420)	(0.0404)	(0.0442)
1991.year				-0.300***	0.0845*	-0.284***	-0.172***
				(0.0391)	(0.0477)	(0.0413)	(0.0408)
1992.year				-0.297***	-0.00849	-0.303***	-0.212***
				(0.0331)	(0.0501)	(0.0317)	(0.0429)
1993.year				-0.258***	0.0414	-0.334***	-0.286***
				(0.0357)	(0.0518)	(0.0373)	(0.0449)
1994.year				-0.226***	0.0214	-0.190***	-0.244***
				(0.0362)	(0.0795)	(0.0351)	(0.0427)
1995.year				-0.334***	0.0648	-0.171***	-0.353***
				(0.0377)	(0.108)	(0.0454)	(0.0488)
1996.year				-0.260***	0.0200	-0.200***	-0.473***
				(0.0469)	(0.0969)	(0.0445)	(0.0641)
1997.year				-0.235***	-0.0266	-0.313***	-0.404***
				(0.0317)	(0.106)	(0.0361)	(0.0535)
1998.year				-0.232***	-0.0625	-0.320***	-0.436***
				(0.0351)	(0.0908)	(0.0433)	(0.0517)
1999.year				-0.253***	-0.145	-0.390***	-0.388***
				(0.0292)	(0.0967)	(0.0406)	(0.0454)
2000.year				-0.00252	-0.136	-0.347***	-0.336***
				(0.0416)	(0.0941)	(0.0408)	(0.0499)
2001.year				-0.204***	-0.222**	-0.433***	-0.486***
				(0.0399)	(0.0934)	(0.0453)	(0.0534)
2002.year				-0.164***	-0.221**	-0.464***	-0.538***
