	(1)	(2)	(3)
VARIABLES	No Macro Controls	No Year FE	No Year FE
			
inflation_post_treat	-0.00311	-0.00399	-0.00690
	(0.0444)	(0.0444)	(0.0440)
post_treat	-0.000714	0.000413	-0.00524
	(0.0445)	(0.0435)	(0.0438)
inflation_post	-0.181**	-0.145*	-0.0229
	(0.0839)	(0.0836)	(0.0242)
inflation_treat	-0.0264	-0.0281	-0.0261
	(0.0218)	(0.0219)	(0.0218)
post	0.0421	0.368***	0.0465
	(0.0549)	(0.0667)	(0.0329)
treat	0.682***	0.683***	0.681***
	(0.103)	(0.103)	(0.105)
unemployment		0.0734***	0.0515***
		(0.0109)	(0.00851)
educ	0.00873**	0.00883**	0.00998**
	(0.00444)	(0.00446)	(0.00439)
experience	0.00716***	0.00723***	0.00735***
	(0.00193)	(0.00191)	(0.00192)
experience2	9.43e-05**	9.36e-05**	9.36e-05**
	(3.82e-05)	(3.80e-05)	(3.82e-05)
female	-0.0358**	-0.0344**	-0.0359**
	(0.0171)	(0.0171)	(0.0171)
white	-0.0209	-0.0183	-0.0223
	(0.0152)	(0.0151)	(0.0151)
married	0.0179	0.0175	0.0178
	(0.0134)	(0.0135)	(0.0136)
union	-0.210***	-0.211***	-0.212***
	(0.0167)	(0.0166)	(0.0165)
2.ind	-0.326***	-0.340***	-0.336***
	(0.118)	(0.118)	(0.119)
3.ind	0.514***	0.516***	0.519***
	(0.0539)	(0.0541)	(0.0541)
4.ind	-0.470***	-0.469***	-0.466***
	(0.0862)	(0.0860)	(0.0870)
5.ind	0.402***	0.400***	0.400***
	(0.0607)	(0.0606)	(0.0607)
6.ind	0.432***	0.431***	0.431***
	(0.0493)	(0.0493)	(0.0495)
7.ind	0.346***	0.347***	0.350***
	(0.0500)	(0.0499)	(0.0497)
8.ind	0.0343	0.0352	0.0372
	(0.0731)	(0.0734)	(0.0737)
9.ind	0.183***	0.181***	0.187***
	(0.0628)	(0.0629)	(0.0627)
10.ind	0.0279	0.0271	0.0290
	(0.0613)	(0.0613)	(0.0613)
11.ind	0.577***	0.579***	0.580***
	(0.0950)	(0.0949)	(0.0950)
12.ind	0.429***	0.427***	0.436***
	(0.0691)	(0.0694)	(0.0696)
13.ind	0.499	0.482	0.482
	(0.361)	(0.354)	(0.358)
14.ind	0.606***	0.608***	0.610***
	(0.0622)	(0.0620)	(0.0618)
15.ind	0.0768	0.0765	0.0759
	(0.0485)	(0.0485)	(0.0485)
16.ind	0.0867*	0.0846	0.0874*
	(0.0522)	(0.0523)	(0.0526)
17.ind	0.431***	0.428***	0.431***
	(0.0740)	(0.0738)	(0.0737)
18.ind	0.429***	0.430***	0.447***
	(0.0542)	(0.0540)	(0.0543)
19.ind	0.830***	0.830***	0.841***
	(0.0538)	(0.0537)	(0.0544)
20o.ind	-	-	-
			
2.occ	-0.0223	-0.0253	-0.0203
	(0.0957)	(0.0963)	(0.0970)
3.occ	0.0844	0.0854	0.0953*
	(0.0553)	(0.0554)	(0.0561)
